"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/28 7:33:42 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Educación Primaria","1","Infectados","TV;Facebook","Personas jóvenes","En España hay aproximadamente 80.000 casos activos","2","2","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1971","Femenino"
"2020/04/28 7:33:43 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Safranar","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Radio;Blogs de periodismo;Instagram;Otras redes sociales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","3","Propagación por gotas al toser y estornudar;Tocar donde ha tocado la otra persona que puede estar infectada y no lavarse las manos ","2001","Masculino"
"2020/04/28 7:33:59 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","2","4","4","Propagación por gotas al toser y estornudar","1952","Femenino"
"2020/04/28 7:34:55 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","3","Propagación por gotas al toser y estornudar","","Femenino"
"2020/04/28 7:35:14 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Sant Isidre","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:35:42 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Amigos","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","","Masculino"
"2020/04/28 7:36:16 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46014","L'Olivereta","","","","","","","Tres Forques","","","","","","","","","","","","","Universitario","1","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1967","Femenino"
"2020/04/28 7:38:04 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","1976","Femenino"
"2020/04/28 7:38:22 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Amigos;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 7:38:29 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Twitter;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Prefiero no decirlo"
"2020/04/28 7:38:51 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Extramurs","Arrancapins","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 7:39:29 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","1","Infectados","TV;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1985","Femenino"
"2020/04/28 7:40:02 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Safranar","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Radio;Fuentes oficiales del Gobierno","Personas adultas","La suma de casos activos y casos recuperados son los casos confirmados en España","2","2","2","Propagación por gotas al toser y estornudar","1961","Femenino"
"2020/04/28 7:40:13 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Ingresados en la UCI","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Blogs de periodismo;Twitter;Instagram;Otras redes sociales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","3","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:40:25 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Ingresados en la UCI","TV;Twitter;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:42:42 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Periódicos digitales;Amigos;Blogs de periodismo;Twitter;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 7:43:03 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:44:02 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","TV;Fuentes oficiales del Gobierno;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","1975","Femenino"
"2020/04/28 7:44:15 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Universitario","4","Infectados","TV;Periódicos digitales;Amigos;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","No lo sé","Propagación por gotas al toser y estornudar;Propagación a través de insectos","2001","Femenino"
"2020/04/28 7:46:57 p. m. EET","I. Baleares","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","No lo sé","No lo sé","No lo sé","Propagación a través del aire","2001","Masculino"
"2020/04/28 7:47:42 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar;Tocar objetos ","1983","Femenino"
"2020/04/28 7:48:18 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Fallecidos","TV;Periódicos digitales;Twitter","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","4","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","1980","Femenino"
"2020/04/28 7:50:10 p. m. EET","I. Baleares","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 7:50:25 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","5","Recuperados","TV;Radio;Fuentes oficiales del Gobierno","Personas adultas","Hay aproximadamente 100.000 casos de recuperados en España","5","4","5","Propagación por gotas al toser y estornudar","1971","Femenino"
"2020/04/28 7:50:26 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Todo","TV;Amigos;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1975","Femenino"
"2020/04/28 7:50:54 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46018","L'Olivereta","","","","","","","Nou Moles","","","","","","","","","","","","","Universitario","5","Recuperados","TV;Fuentes oficiales del Gobierno;Twitter","Personas adultas","Hay aproximadamente 100.000 casos de recuperados en España","5","5","5","Propagación por gotas al toser y estornudar","1999","Femenino"
"2020/04/28 7:51:10 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados y recuperados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Blogs de periodismo;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 7:51:15 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Ingresados en la UCI","TV;Twitter;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","3","Propagación por gotas al toser y estornudar","1996","Femenino"
"2020/04/28 7:51:35 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Sant Isidre","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","3","2","1","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:52:18 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Recuperados","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","4","4","Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 7:52:21 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46014","Patraix","","","","","","","","Sant Isidre","","","","","","","","","","","","Universitario","2","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 7:52:39 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Educación Primaria","2","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","3","Propagación por gotas al toser y estornudar","1974","Femenino"
